rule,file,line,col,severity,message,suggestion
R02,library/cmac.c,1053,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R07,library/constant_time.c,139,0,medium,Return contract violation: variable 'diff' stores crypto result but is returned without validation.,Ensure the return value contract is validated (e.g. checking for non-zero status) before returning.
R07,library/constant_time_impl.h,387,0,medium,Return contract violation: variable 'ret' stores crypto result but is returned without validation.,Ensure the return value contract is validated (e.g. checking for non-zero status) before returning.
R03,library/ctr_drbg.c,167,18,high,Stack-allocated crypto buffer 'key' of large size (MBEDTLS_CTR_DRBG_KEYSIZE) detected.,PQC keys/buffers are large; allocate on the heap or use caller-provided memory to prevent stack exhaustion.
R02,library/ctr_drbg.c,215,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ctr_drbg.c,242,12,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ctr_drbg.c,268,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ctr_drbg.c,286,8,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ctr_drbg.c,356,8,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ctr_drbg.c,378,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R03,library/ctr_drbg.c,452,18,high,Stack-allocated crypto buffer 'seed' of large size (MBEDTLS_CTR_DRBG_MAX_SEED_INPUT) detected.,PQC keys/buffers are large; allocate on the heap or use caller-provided memory to prevent stack exhaustion.
R03,library/ctr_drbg.c,542,18,high,Stack-allocated crypto buffer 'key' of large size (MBEDTLS_CTR_DRBG_KEYSIZE) detected.,PQC keys/buffers are large; allocate on the heap or use caller-provided memory to prevent stack exhaustion.
R02,library/ctr_drbg.c,568,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ctr_drbg.c,659,8,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/debug.c,429,4,medium,Algorithm switch statement contains classical crypto but lacks post-quantum cryptography cases.,Implement crypto agility by adding ML-KEM or ML-DSA cases.
R02,library/debug.c,455,4,medium,Algorithm switch statement contains classical crypto but lacks post-quantum cryptography cases.,Implement crypto agility by adding ML-KEM or ML-DSA cases.
R03,library/des.c,312,46,high,Stack-allocated crypto buffer 'key' of large size (MBEDTLS_DES_KEY_SIZE) detected.,PQC keys/buffers are large; allocate on the heap or use caller-provided memory to prevent stack exhaustion.
R03,library/des.c,324,57,high,Stack-allocated crypto buffer 'key' of large size (MBEDTLS_DES_KEY_SIZE) detected.,PQC keys/buffers are large; allocate on the heap or use caller-provided memory to prevent stack exhaustion.
R01,library/des.c,358,0,medium,Hardcoded key/buffer size macro 'WEAK_KEY_COUNT' value (16) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R03,library/des.c,381,51,high,Stack-allocated crypto buffer 'key' of large size (MBEDTLS_DES_KEY_SIZE) detected.,PQC keys/buffers are large; allocate on the heap or use caller-provided memory to prevent stack exhaustion.
R02,library/des.c,386,8,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R01,library/des.c,395,33,high,Hardcoded key array size (32 bytes) for 'SK' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R03,library/des.c,395,61,high,Stack-allocated crypto buffer 'key' of large size (MBEDTLS_DES_KEY_SIZE) detected.,PQC keys/buffers are large; allocate on the heap or use caller-provided memory to prevent stack exhaustion.
R03,library/des.c,464,73,high,Stack-allocated crypto buffer 'key' of large size (MBEDTLS_DES_KEY_SIZE) detected.,PQC keys/buffers are large; allocate on the heap or use caller-provided memory to prevent stack exhaustion.
R04,library/des.c,466,4,high,Return value of cryptographic function 'mbedtls_des_setkey' is unchecked.,Check the return value for errors (e.g. decapsulation failure) to prevent security gaps.
R03,library/des.c,474,73,high,Stack-allocated crypto buffer 'key' of large size (MBEDTLS_DES_KEY_SIZE) detected.,PQC keys/buffers are large; allocate on the heap or use caller-provided memory to prevent stack exhaustion.
R04,library/des.c,478,4,high,Return value of cryptographic function 'mbedtls_des_setkey' is unchecked.,Check the return value for errors (e.g. decapsulation failure) to prevent security gaps.
R01,library/des.c,488,34,high,Hardcoded key array size (96 bytes) for 'esk' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,library/des.c,489,34,high,Hardcoded key array size (96 bytes) for 'dsk' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
